time,X_value,Y_value,Z_value
1600.698,0.06304,4.81450,8.54325
1600.820,0.03552,5.06186,8.39921
1600.880,0.09089,5.08757,8.38324
1600.954,0.23989,5.16970,8.32989
1601.055,-0.03376,5.48333,8.13034
1601.120,-0.33170,5.05276,8.39822
1601.180,-0.48153,4.82045,8.52653
1601.294,-0.63946,4.82274,8.51485
1601.353,-0.72479,4.82917,8.50436
1601.421,-0.61101,4.87658,8.48623
1601.552,-0.50391,4.97946,8.43336
1601.570,-0.69561,5.33336,8.20011
1601.651,-0.32363,5.12130,8.35691
1601.738,-0.09325,5.10959,8.36982
1601.814,-0.03910,5.07348,8.39218
1601.890,-0.05641,5.13372,8.35537
1601.978,-0.00776,4.84100,8.52849
1602.047,-0.00935,4.41500,8.75660
1602.125,-0.08762,4.54349,8.69019
1602.207,-0.24256,4.40352,8.75903
1602.284,-0.49996,4.22578,8.83534
1602.376,-0.64803,4.26547,8.80660
1602.452,-0.76048,4.44603,8.70775
1602.524,-0.84502,4.51006,8.66693
1602.603,-0.93085,4.57773,8.62255
1602.683,-0.92942,4.73484,8.53744
1602.761,-0.59668,4.73998,8.56428
1602.845,-0.14624,5.12471,8.35981
1602.924,0.01789,5.29030,8.25729
1602.998,0.09864,5.30394,8.24796
1603.078,0.18428,5.15130,8.34270
1603.159,0.22758,5.04665,8.40535
1603.241,0.27792,5.05237,8.40040
1603.323,-0.10641,4.77766,8.56347
1603.399,-0.39043,4.66230,8.61864
1603.475,-0.47753,4.75798,8.56177
1603.562,-0.56000,4.76186,8.55462
1603.635,-0.52414,4.72768,8.57582
1603.719,-0.34585,4.85828,8.51163
1603.800,-0.21696,4.86954,8.50946
1603.839,0.00104,4.94540,8.46838
1603.919,0.22071,5.08234,8.38400
1604.033,0.34841,5.14978,8.33839
1604.112,0.46360,5.19771,8.30297
1604.192,0.70426,5.02623,8.39115
1604.272,0.70112,4.95797,8.43192
1604.350,0.65428,4.89696,8.47125
1604.431,0.46714,4.64941,8.62179
1604.514,0.28317,4.63311,8.63855
1604.591,0.21025,4.75868,8.57211
1604.667,0.30893,4.62350,8.64281
1604.746,0.68626,4.36089,8.75683
1604.827,1.00773,4.36067,8.72579
1604.905,1.07904,4.34764,8.72376
1604.993,1.13709,4.53501,8.62039
1605.064,1.27172,4.68471,8.52095
1605.149,1.32859,4.53665,8.59209
1605.223,1.37872,4.51762,8.59422
1605.310,1.52885,4.53670,8.55870
1605.381,1.48595,4.91570,8.35454
1605.468,1.36027,4.91901,8.37397
1605.542,1.14469,4.71904,8.52002
1605.620,1.14851,4.69495,8.53281
1605.699,1.24195,4.72625,8.50238
1605.781,1.38040,4.51825,8.59362
1605.859,1.81243,4.00164,8.76769
1605.937,2.21280,4.32639,8.51800
1606.017,2.51313,4.51672,8.33390
1606.099,2.84809,4.71629,8.11267
1606.178,2.86468,4.38075,8.29295
1606.266,3.08778,3.74344,8.52190
1606.349,3.54336,2.24341,8.86466
1606.415,3.68187,1.59733,8.94778
1606.494,3.46906,2.15280,8.91636
1606.573,3.56661,2.29757,8.84143
1606.657,3.11110,2.58972,8.93224
1606.748,3.06146,2.54063,8.96343
1606.810,3.77001,2.24945,8.76912
1606.892,4.71362,3.20889,7.97842
1606.969,4.52371,3.64340,7.90139
1607.050,4.46400,3.73415,7.89299
1607.136,5.07282,3.44643,7.65239
1607.207,4.29049,3.58472,8.05679
1607.285,3.73329,3.31295,8.44141
1607.365,3.29410,2.94143,8.75599
1607.444,3.48337,2.33893,8.86374
1607.525,3.26770,1.91486,9.04576
1607.608,3.24956,2.05125,9.02237
1607.681,3.90721,2.00383,8.76862
1607.761,4.46233,2.12302,8.47058
1607.841,5.12798,2.57136,7.95377
1607.921,5.41477,2.80128,7.68137
1608.006,5.51502,2.88686,7.57767
1608.079,5.29546,2.85979,7.74274
1608.157,5.22112,2.62622,7.87485
1608.242,5.30009,2.57710,7.83824
1608.326,5.23330,2.78595,7.81162
1608.400,5.59706,2.81985,7.54266
1608.474,5.73332,2.95256,7.38795
1608.566,5.75300,2.90552,7.39130
1608.635,5.56832,2.58218,7.64831
1608.716,5.38834,1.80731,7.99186
1608.792,5.05067,0.89149,8.35861
1608.876,4.94082,0.76785,8.43618
1608.960,4.90041,1.10589,8.42219
1609.037,4.82285,1.59219,8.38901
1609.117,4.70766,2.02192,8.36183
1609.192,4.62526,2.32352,8.32938
1609.275,4.34489,2.54401,8.41548
1609.374,4.13721,2.59357,8.50455
1609.435,4.13084,2.37969,8.56992
1609.511,4.11413,2.54608,8.53006
1609.587,4.47893,2.62596,8.31949
1609.666,4.47256,2.83952,8.25249
1609.754,4.53327,2.94732,8.18127
1609.826,4.56954,2.70735,8.24378
1609.905,4.82600,2.26339,8.23148
1610.070,4.79890,1.62785,8.39590
1610.153,4.73312,1.45428,8.46481
1610.224,4.66981,1.51863,8.48864
1610.310,4.45844,1.68020,8.57144
1610.403,4.35237,1.75469,8.61094
1610.463,4.30753,1.69145,8.64607
1610.545,4.19072,1.62174,8.71655
1610.622,4.18506,1.49297,8.74224
1610.700,4.14854,1.12399,8.81457
1610.789,4.17750,1.33562,8.77126
1610.864,4.71917,1.65457,8.43577
1610.944,4.58078,2.05045,8.42511
1611.029,4.86270,2.10264,8.25248
1611.098,5.09602,1.89407,8.16171
1611.190,5.25250,1.47367,8.14923
1611.270,5.17614,0.86848,8.28394
1611.345,4.88248,0.89479,8.45761
1611.418,4.92830,1.26833,8.38293
1611.500,4.51744,1.59524,8.55677
1611.576,4.30299,1.72562,8.64158
1611.655,4.24375,1.80719,8.65419
1611.734,4.19975,1.71941,8.69345
1611.813,4.09412,1.34407,8.80920
1611.891,4.10755,1.45129,8.78591
1611.976,4.13197,1.77018,8.71571
1612.051,4.32433,1.96891,8.57869
1612.129,4.45488,2.07143,8.48726
1612.209,4.65861,1.87599,8.42309
1612.288,4.88638,1.54160,8.36165
1612.368,4.90445,0.92449,8.44169
1612.448,4.97555,0.58300,8.43057
1612.526,4.97926,0.84237,8.40641
1612.627,4.73532,0.99119,8.53022
1612.685,4.53132,1.09582,8.62767
1612.772,4.66178,1.16878,8.54823
1612.844,4.56281,1.27589,8.58623
1612.925,4.48396,1.43683,8.60233
1613.015,4.33974,1.44748,8.67421
1613.104,4.38422,1.91887,8.55961
1613.166,4.70652,2.17692,8.32347
1613.241,4.60493,2.42642,8.31129
1613.320,4.70861,2.26790,8.29795
1613.405,4.53310,1.80123,8.50746
1613.479,4.76993,1.11289,8.49586
1613.563,4.82572,0.60098,8.51597
1613.639,4.59237,0.91772,8.61617
1613.718,4.36583,1.29280,8.68554
1613.798,3.94436,1.60148,8.83446
1613.886,3.58429,1.64591,8.97855
1613.957,3.29179,1.56103,9.10482
1614.042,3.27811,1.29117,9.15190
1614.119,3.04219,1.14556,9.25220
1614.207,2.93334,1.52221,9.23303
1614.280,3.35872,1.69934,9.05547
1614.356,3.40237,1.93783,8.99105
1614.434,3.75139,1.93656,8.85139
1614.523,3.88958,1.69011,8.84223
1614.611,3.94242,1.12294,8.90880
1614.674,3.75392,0.70125,9.03254
1614.750,3.63768,1.04039,9.04739
1614.829,3.54827,1.30625,9.04842
1614.915,3.29277,1.52090,9.11125
1615.005,3.29106,1.50142,9.11510
1615.067,3.19405,1.40431,9.16495
1615.158,3.13560,1.10993,9.22531
1615.231,3.06412,0.78082,9.28288
1615.305,3.01812,1.30272,9.23928
1615.389,3.15197,1.66048,9.13665
1615.465,3.04747,1.92699,9.11976
1615.545,3.44531,2.08306,8.94210
1615.622,3.63659,2.24773,8.82572
1615.708,2.91349,2.26468,9.08588
1615.788,3.02667,1.48623,9.20873
1615.862,2.89156,1.06123,9.31037
1615.945,3.21357,1.34603,9.16687
1616.038,2.93647,1.06484,9.29589
1616.099,2.85200,0.80634,9.34806
1616.178,2.84340,0.48932,9.37262
1616.264,2.97193,0.21897,9.34291
1616.337,3.19109,-0.46948,9.26104
1616.433,2.61884,-1.43951,9.34023
1616.496,2.11082,-1.67865,9.42852
1616.576,1.93780,-0.91368,9.56977
1616.664,2.89868,0.23932,9.36540
1616.735,2.74294,2.53399,9.06783
1616.825,2.73227,2.69865,9.02344
1616.903,2.53100,0.53288,9.45941
1616.973,3.40899,0.62052,9.17410
1617.051,3.33246,1.00883,9.16774
1617.134,3.33549,0.53739,9.20631
1617.214,2.29902,0.79667,9.50001
1617.290,2.55215,0.45857,9.45762
1617.375,3.25120,-0.21796,9.24946
1617.449,4.84240,0.20900,8.52513
1617.528,5.39981,0.89895,8.13660
1617.615,5.84087,1.23187,7.78056
1617.685,5.52395,0.86023,8.05707
1617.769,5.04950,0.99767,8.34731
1617.845,5.06669,1.23307,8.30533
1617.928,5.31783,1.58619,8.08548
1618.009,5.64703,1.82115,7.80800
1618.083,5.56933,1.49725,7.93166
1618.160,5.38879,0.71202,8.16237
1618.240,5.59559,1.08779,7.97975
1618.319,5.55515,1.67339,7.90636
1618.400,5.20691,2.32329,7.97877
1618.478,5.06764,2.56053,7.99582
1618.557,5.28407,2.52048,7.86741
1618.675,5.17438,2.62833,7.90494
1618.719,4.59748,2.71427,8.22595
1618.795,4.33672,2.57694,8.40967
1618.874,4.12798,3.27324,8.27140
1618.953,4.32686,3.71484,7.97801
1619.035,4.06837,3.78988,8.07809
1619.115,4.03876,3.74442,8.11407
1619.192,4.31821,3.64997,8.01257
1619.271,4.42342,3.45797,8.04028
1619.351,4.60967,3.14616,8.06369
1619.430,4.68529,2.97020,8.08680
1619.509,4.43898,3.23170,8.12539
1619.592,4.43860,3.07035,8.18793
1619.669,4.83321,3.21545,7.90388
1619.749,5.15211,3.28160,7.67185
1619.831,5.05213,2.88711,7.89373
1619.907,5.19291,2.46011,7.94682
1619.990,5.27954,2.00547,8.01717
1620.069,4.84019,0.69522,8.50057
1620.147,4.39800,0.08942,8.76470
1620.226,4.58139,0.68235,8.64382
1620.307,4.80953,1.18929,8.46312
1620.473,4.87714,1.71082,8.33409
1620.549,5.21481,2.20875,8.00609
1620.624,5.51501,2.50050,7.71379
1620.705,5.61309,2.48959,7.64628
1620.783,5.70492,2.24956,7.65270
1620.868,5.98201,1.92260,7.52925
1620.950,6.21257,1.58313,7.42079
1621.021,6.34500,1.31797,7.36032
1621.117,6.52969,1.21927,7.21436
1621.187,6.63046,1.20311,7.12460
1621.260,6.87011,1.59304,6.81427
1621.344,7.02003,2.35063,6.43149
1621.418,6.83989,3.41630,6.14127
1621.504,6.59949,4.23548,5.88879
1621.579,6.57324,3.94994,6.11236
1621.657,6.73698,4.04419,5.86754
1621.736,7.29635,3.95224,5.22623
1621.816,7.45449,3.94067,5.00720
1621.896,7.56528,4.03353,4.76104
1621.976,7.41188,4.30787,4.76201
1622.055,7.58898,4.38918,4.39465
1622.134,7.82172,4.45581,3.89061
1622.212,7.89933,4.64493,3.49223
1622.296,8.13368,4.64510,2.90459
1622.371,8.30822,4.51716,2.59600
1622.453,8.42711,4.36888,2.46315
