time,X_value,Y_value,Z_value
1002.882,-0.25290,-1.16219,4.47862
1003.005,-1.60115,0.66231,-0.20684
1003.061,-1.88807,-1.76192,2.33032
1003.137,-1.79087,-0.50949,-2.51920
1600.098,0.44806,-2.27281,-3.25076
1600.162,-0.37952,-0.75987,1.72450
1600.221,-0.00299,-1.90653,-1.02854
1600.346,0.46385,-2.20721,2.33299
1600.401,1.61652,-1.81312,4.38623
1600.471,-0.61537,-3.14476,0.53405
1600.585,-1.42997,-4.48402,2.35157
1600.648,0.45630,-3.58923,-1.31960
1600.698,1.65226,-2.56711,-3.60584
1600.820,-0.03978,-1.88392,-1.04716
1600.880,-0.24882,-1.35116,5.07031
1600.954,3.04850,-2.12407,5.68732
1601.066,2.91960,-3.22483,-0.28456
1601.120,0.34367,-3.44425,1.70380
1601.180,0.83041,-1.81309,-2.05831
1601.294,-0.26191,-2.06689,-2.74102
1601.354,1.15190,-1.81761,0.88821
1601.421,0.56919,-0.06770,3.54842
1601.552,1.46318,-2.50080,6.99513
1601.570,0.17297,-2.72860,-0.12365
1601.651,0.72915,-4.39137,2.35970
1601.738,0.98255,-2.83233,-3.64672
1601.814,0.63809,-2.06499,-2.88764
1601.890,0.39961,-1.51824,-1.28953
1601.978,-0.39181,-1.86980,4.43692
1602.047,1.46556,-3.09041,6.44108
1602.125,4.05280,-3.25088,0.03100
1602.207,1.67519,-3.16316,-0.62096
1602.285,0.11499,-1.21748,-2.24135
1602.376,0.08878,-2.04412,-0.86600
1602.452,1.25092,-1.50071,0.00109
1602.524,0.59064,-0.35820,2.66346
1602.603,0.00097,-1.72058,5.82676
1602.683,-0.56176,-3.60294,3.29133
1602.761,0.49552,-4.00389,1.05132
1602.845,1.36443,-2.49610,-4.10377
1602.924,0.77342,-2.51778,-2.80480
1602.998,0.64102,-2.20686,2.12929
1603.078,1.92307,-0.95924,4.10344
1603.159,2.47357,-2.77103,4.35985
1603.241,3.32903,-3.71920,0.69369
1603.323,0.90019,-1.72588,-1.81371
1603.399,0.56138,-1.23808,-2.23747
1603.475,0.02293,-1.85345,-0.68389
1603.562,0.22773,-1.47646,2.30141
1603.635,0.15840,0.63582,3.73292
1603.719,-1.73773,-2.77387,2.11747
1603.800,-0.64888,-4.09703,1.91037
1603.839,0.56727,-2.99865,-2.33882
1603.919,1.25042,-2.63043,-2.10273
1604.033,0.32001,-2.69058,-1.20585
1604.112,0.01009,-1.59805,1.49164
1604.192,0.93800,-1.70606,3.77609
1604.272,2.04089,-2.51113,2.13319
1604.350,1.66991,-3.88102,1.37663
1604.440,0.25953,-1.90357,-0.81631
1604.514,0.70406,-1.70968,-2.17152
1604.591,0.29163,-2.10758,-1.49616
1604.667,0.25612,-1.93323,2.01815
1604.746,0.83301,0.41257,3.55667
1604.827,-1.96987,-2.91226,2.74805
1604.905,-1.94688,-5.07937,3.62124
1604.993,-0.56673,-3.37195,-2.80503
1605.064,-0.26972,-2.41676,-2.64214
1605.149,-1.38795,-1.87101,0.83301
1605.223,-0.83086,-0.65396,3.50268
1605.310,1.57541,-1.23425,3.97426
1605.381,-0.27465,-3.24296,-1.10690
1605.468,0.09783,-3.82053,2.07512
1605.542,-1.16234,-1.38639,-1.74099
1605.620,-0.64567,-1.64377,-1.27436
1605.699,-1.07418,-2.02508,-0.16563
1605.781,-1.25595,-1.80277,1.37514
1605.859,0.60007,0.11941,4.42043
1605.937,-4.30469,-2.55435,1.42802
1606.017,-2.38144,-4.27937,3.32837
1606.099,-1.90476,-3.63386,-4.40813
1606.178,-0.95291,-2.74193,-4.84311
1606.266,-0.68127,-1.14924,-3.95369
1606.349,-0.59737,-3.51847,10.14828
1606.415,0.87259,-1.45672,7.55381
1606.494,0.79697,-1.86958,-1.70435
1606.573,0.13405,-3.90192,0.60621
1606.657,-2.01885,-1.17697,-4.54923
1606.748,-3.04460,-0.95891,-1.64694
1606.810,-3.98404,-2.81338,10.27376
1606.892,-2.93390,-1.33157,4.42669
1606.969,-2.03973,-1.33713,2.24677
1607.050,-0.96239,-2.11593,1.54757
1607.136,-3.09187,-3.95045,1.20058
1607.207,-2.89930,-2.15156,-6.70277
1607.285,-1.28268,-0.98372,-1.89694
1607.365,-2.24729,1.19466,4.09575
1607.444,0.13006,-2.15892,10.06109
1607.525,1.99055,-1.75168,4.59299
1607.608,0.87560,-1.93610,-1.28689
1607.681,-3.00518,-3.15740,3.18390
1607.761,-3.77837,-1.50278,-1.29651
1607.841,-4.89913,-1.03899,-4.19399
1607.921,-3.41385,-0.47154,-1.54336
1608.006,-2.83018,-0.42509,1.00611
1608.079,-2.57112,0.33462,1.84287
1608.157,-0.20597,0.48717,5.16809
1608.242,-1.21149,-1.13617,3.97741
1608.326,-2.80945,-0.95066,1.27062
1608.400,-2.60544,-1.49033,1.61218
1608.474,-3.45408,-1.08186,-1.14796
1608.566,-3.65338,-0.70779,-1.03300
1608.635,-2.93929,0.07244,-0.32499
1608.716,0.22207,-0.01336,3.44476
1608.792,0.19552,-0.63119,5.58000
1608.876,1.90152,-0.27099,0.30934
1608.960,-1.03348,-1.67694,1.82500
1609.037,-1.88814,-0.86904,-1.75466
1609.117,-2.86999,-0.46953,-1.70810
1609.192,-1.85286,-0.09509,-1.22555
1609.275,-1.11150,0.03744,0.51938
1609.374,-0.17291,1.05908,2.38440
1609.435,-0.44543,0.01920,4.87277
1609.511,-2.19453,-0.34235,-0.44592
1609.587,-2.54660,-1.56134,1.55822
1609.666,-3.54352,-1.27343,-1.42530
1609.754,-2.98678,-0.38994,-2.48795
1609.826,-3.30754,0.34421,0.80699
1609.905,-0.63925,0.45419,2.97245
1610.070,0.95496,0.26102,5.07301
1610.153,-0.26026,-0.84991,0.50343
1610.224,0.35524,-1.92894,-0.01260
1610.310,-2.12805,-0.94264,-1.49652
1610.403,-1.88991,0.08251,-1.72053
1610.463,-1.44576,0.37960,-0.65241
1610.545,-1.10155,0.83098,0.51113
1610.622,-0.52182,0.69536,2.65555
1610.700,-0.46488,1.45840,5.13190
1610.789,-1.80090,-0.35935,1.01670
1610.864,-1.81530,-2.21044,2.01804
1610.944,-3.29520,-1.16863,-3.63077
1611.029,-2.69236,-0.58226,-2.01036
1611.098,-3.01350,0.11576,0.07107
1611.190,-0.87152,0.29641,3.17096
1611.270,0.96945,-0.23826,4.61424
1611.345,0.31104,-1.14030,-0.24503
1611.418,0.16731,-1.81810,-0.56669
1611.500,-2.17093,-0.33759,-3.11781
1611.576,-2.60459,0.15823,-1.92899
1611.655,-2.03341,0.13425,-0.34379
1611.734,-0.98875,0.05176,2.57770
1611.813,-0.48590,1.99007,5.43337
1611.891,-1.41193,-0.49300,2.44370
1611.976,-2.16087,-1.70857,1.27455
1612.051,-2.84350,-1.70135,-1.63261
1612.129,-2.38249,-0.73601,-3.31789
1612.209,-2.70537,-0.03990,-0.76202
1612.288,-1.07765,0.46936,1.87996
1612.369,0.05315,0.21880,4.26482
1612.448,-0.43339,-0.88192,3.06367
1612.526,2.08139,-1.26573,-1.95024
1612.627,-1.76723,-0.92519,-1.55736
1612.685,-1.41715,0.12837,-2.35418
1612.772,-1.32937,0.12327,-0.22402
1612.844,-0.73059,1.04332,0.75372
1612.925,-0.13345,1.28343,2.65270
1613.015,-0.97286,0.66082,5.43969
1613.104,-1.24320,-0.97706,-0.57464
1613.166,-2.83150,-2.36742,0.23795
1613.241,-3.48002,-1.36251,-3.99584
1613.320,-2.81656,-0.46134,-1.97324
1613.405,-2.92090,0.68923,1.29360
1613.479,-0.26588,0.85958,5.54613
1613.563,1.52423,-0.25972,6.35098
1613.639,1.86899,-1.98153,-0.46610
1613.718,-1.66651,-1.43847,-1.31393
1613.798,-1.73889,0.14865,-4.67204
1613.886,-2.39668,0.16352,-3.05776
1613.957,-1.91336,0.55454,0.58711
1614.042,-0.56768,0.85545,5.75702
1614.119,-0.92462,0.67514,5.59052
1614.207,-1.49590,-1.17955,-0.23278
1614.280,-2.78663,-2.27403,0.08635
1614.356,-2.77464,-1.23924,-4.50217
1614.434,-1.84676,-0.44286,-2.87879
1614.523,-1.98925,0.43256,0.27667
1614.611,-1.75217,-0.02347,6.21225
1614.674,0.57925,-0.28437,4.93340
1614.750,3.56105,-1.86462,-1.59953
1614.829,-1.48254,-1.57442,-1.03508
1614.915,-1.59973,0.22162,-4.89452
1615.005,-1.87672,-0.08560,-2.58794
1615.067,-1.38068,0.50374,0.15972
1615.158,0.08789,0.83705,3.98871
1615.231,-0.26484,1.87567,6.86576
1615.305,0.58793,-1.46824,1.52074
1615.389,-1.97205,-4.03290,2.65215
1615.465,-3.35272,-1.52281,-3.48357
1615.545,-1.21285,0.05143,-4.98065
1615.622,-3.03486,0.27771,-4.96859
1615.708,-2.65857,0.61577,0.22029
1615.788,0.74772,-1.30838,9.28135
1615.862,1.07739,-1.67121,4.28338
1615.945,5.57007,-3.13269,-1.87523
1616.038,-3.05550,-1.23953,-3.17998
1616.099,-2.37208,0.38061,-6.07099
1616.178,-3.71600,-0.04557,-4.73936
1616.264,0.41529,-3.22871,1.71655
1616.337,0.32596,1.24337,11.30551
1616.433,1.62633,5.94278,8.38209
1616.496,-0.51921,3.02182,-4.04221
1616.576,-2.29116,1.17576,0.05261
1616.664,-1.47487,-5.07998,26.24308
1616.735,4.21658,-10.45175,-1.05230
1616.825,-0.61143,-7.58505,-13.84738
1616.903,-3.52821,-1.50841,2.02085
1616.973,0.87750,0.72813,-9.03698
1617.051,0.86205,0.32574,-3.80241
1617.134,-0.81704,-5.90184,11.14218
1617.214,0.16165,-0.44354,-4.70761
1617.290,1.33695,0.35772,3.15990
1617.375,-3.59017,0.03192,2.37327
1617.449,-4.20697,-0.09021,-3.01878
1617.528,-4.44005,0.47281,-3.37529
1617.615,1.78091,-2.79402,3.77434
1617.685,-2.30058,-2.78194,-0.86859
1617.769,-5.80838,-1.31069,-2.66204
1617.845,-3.74335,-0.39109,-3.29338
1617.928,-0.59325,-0.97919,0.39972
1618.009,0.72799,-0.14241,2.29950
1618.083,2.44439,0.25117,2.61780
1618.160,2.02411,-0.61517,5.55784
1618.240,2.62030,-1.22822,-1.88452
1618.319,0.75084,-2.41351,-0.94568
1618.400,-1.61252,-0.98628,-1.98967
1618.478,-1.68884,-0.34633,-2.66804
1618.563,-0.26702,0.23973,-0.96602
1618.675,-1.17694,0.90326,-0.15880
1618.719,-0.79732,2.12734,1.13209
1618.795,1.77804,-0.12714,7.16798
1618.876,-2.53110,-1.61856,-0.11594
1618.953,-0.90508,-2.31298,-0.40997
1619.035,-2.11408,-2.04693,-3.20036
1619.115,-1.04855,-1.35587,-2.23866
1619.192,-1.43469,-0.39778,0.31499
1619.271,-1.38244,1.03896,1.60263
1619.351,1.55850,0.40537,2.17070
1619.430,0.61840,-1.56171,1.45885
1619.510,0.76693,-2.75173,-2.73276
1619.592,-0.27343,-2.04104,2.09370
1619.669,-1.59391,-0.51238,-1.41303
1619.749,-2.77761,0.58988,-2.01767
1619.831,-1.30765,-0.45840,-0.30201
1619.907,-0.43826,0.09485,-0.40151
1619.990,-0.89622,1.43567,-0.14710
1620.069,4.12655,-0.08147,7.62881
1620.147,-1.73282,-1.85569,5.54101
1620.226,-0.31725,-2.67359,0.36597
1620.307,-0.19217,-2.49846,-0.40350
1620.473,-1.91348,-2.23049,-0.11077
1620.549,-1.99984,-2.57038,0.22727
1620.625,-1.98573,-2.07499,-0.70409
1620.705,-2.14109,-1.41384,-0.34181
1620.783,-2.67867,-0.59440,0.36049
1620.868,-1.33255,0.31625,-0.14325
1620.950,-0.37872,0.38326,1.27962
1621.021,0.12679,0.22178,2.57599
1621.117,-0.69067,-0.11744,-0.16175
1621.187,0.39148,-0.21435,1.27130
1621.260,0.29946,0.71660,2.20528
1621.344,0.80750,-0.36761,0.96866
1621.418,-0.57865,-1.44048,-1.83641
1621.504,-6.23539,0.60715,-6.15316
1621.579,6.10829,1.02594,-7.93342
1621.657,-2.61778,-2.03305,0.00766
1621.736,-1.96027,0.92368,3.45410
1621.816,-0.38401,0.60113,-0.42806
1621.896,1.44342,0.83033,-0.09257
1621.976,-2.08363,-0.68123,-0.97060
1622.055,0.10361,0.02926,0.11653
1622.134,-0.09038,0.00615,-1.18669
1622.212,-1.78361,-0.58189,-1.21160
1622.296,0.55399,0.09912,-1.10008
1622.371,0.23252,-0.00773,1.47447
1622.453,0.06820,0.68105,0.25616
1622.537,-0.08010,-0.84789,0.81830
1622.616,0.26287,-0.73570,0.85089
1622.695,0.92346,-1.03638,0.07528
1622.769,-1.41436,-0.60048,1.52237
1622.847,-5.60292,2.26446,4.43594
1622.926,-3.93597,3.37671,3.98086
1623.007,-2.71279,1.60601,-0.48348
1623.090,8.15920,4.38507,-2.01697
1623.172,5.01570,1.19038,1.61537
1623.244,0.86561,-4.15520,0.31277
1623.323,-1.91997,-5.59674,-1.93331
1623.405,-3.42506,-2.62374,-3.57496
1623.483,-6.20932,-1.71775,-2.36898
1623.567,-3.60179,-0.43724,-4.31653
1623.641,5.16534,-0.50871,4.67459
1623.742,2.65919,0.45866,1.67625
1623.807,2.15375,0.69001,3.70373
1623.880,0.97162,-0.17171,2.47218
1623.959,0.16438,-1.70122,-1.47587
1624.040,-0.41248,-2.22984,0.19747
1624.117,-3.24690,-1.38274,-2.82679
1624.200,-2.07738,-0.08064,-3.02611
1624.276,-0.02887,-0.37717,0.11868
1624.355,3.97030,-0.44617,4.03162
1624.436,4.79767,-1.03712,3.46690
1624.514,-0.17120,-2.33998,-7.56796
1624.594,-2.26581,-1.41798,-0.17551
1624.678,-3.51048,0.76039,-1.11870
1624.752,-2.12200,0.10964,3.22210
1624.842,4.26478,-2.22556,4.82930
1624.916,-3.34423,-0.54919,-1.30551
1624.991,-1.80007,-0.85825,0.08200
1625.083,-0.35957,-0.33088,1.40210
1625.150,-1.49408,0.10771,-0.76518
1625.229,0.20969,0.07780,-1.12278
1625.308,2.19613,-2.48036,4.28831
1625.388,2.08358,-2.17450,-1.39905
1625.470,-0.64587,-0.63300,0.42532
1625.548,-2.20774,0.75439,-3.46905
1625.632,0.92024,0.53647,0.70913
1625.705,1.73533,-0.83613,-1.57610
1625.784,0.09108,-1.55317,0.74985
1625.872,-4.11966,-0.25687,-2.03425
1625.947,-3.67949,-0.29754,1.63390
