time,X_value,Y_value,Z_value
307.538,0.63497,0.19948,-3.64442
307.629,1.37301,-0.60559,-4.88166
307.702,2.30993,-1.58695,0.48857
307.778,-2.90689,-0.98466,6.03443
307.858,-1.87326,-4.63225,-8.06498
307.939,-2.96433,-1.78877,-3.36580
308.021,-2.47596,-1.96307,0.35815
308.098,2.35664,-0.87433,-1.55826
308.171,1.81707,0.73469,-0.79123
308.259,0.45152,0.50182,0.97898
308.338,-2.21570,-0.58622,-0.73097
308.414,-1.31040,-1.63239,1.54504
308.489,-2.61403,-3.22611,-3.12885
308.575,3.22130,-2.73960,3.86860
308.648,0.64751,-0.33161,-5.75091
308.729,2.36443,-1.33972,-2.14441
308.826,0.08925,-1.90654,4.45254
308.895,-2.61921,1.16938,6.74642
308.965,0.79875,-2.67831,4.32261
309.050,-2.84044,-3.58744,-2.07291
309.125,0.73812,-0.38931,-1.77495
309.219,2.97605,-0.65098,-0.93073
309.283,1.98717,0.43984,-1.48568
309.369,-3.13358,0.36671,-1.43430
309.443,-1.85352,-1.24565,5.88089
309.531,-2.84368,-3.39005,-5.16733
309.604,1.41206,-5.99882,2.28865
309.683,0.02673,-0.10023,-5.22000
309.760,1.91917,-0.79734,-4.67376
309.849,1.72367,-1.89854,1.35759
309.918,-2.31331,-0.60393,6.32314
310.002,-3.06316,-6.54452,-10.67030
310.079,-4.22147,-1.71010,-5.14130
310.173,-1.55117,-1.15206,2.36241
310.239,2.90508,-0.73951,-1.57422
310.321,1.09133,0.51500,-2.07770
310.395,-0.90881,0.59820,1.36304
310.488,-1.72325,-0.91873,2.36007
310.557,-1.95645,-2.69017,-0.06238
310.643,-2.99743,-5.30218,-4.74333
310.713,3.57214,-1.66101,2.75345
310.801,0.88287,-0.42293,-4.82969
310.877,1.16163,-1.35401,-2.20402
310.960,-0.92380,-1.22743,3.84783
311.032,-2.82030,-1.27020,1.14205
311.112,-2.76087,-2.97098,-4.77419
311.189,-2.65836,-2.61936,1.48527
311.281,2.16836,0.12362,-2.87524
311.353,2.15737,0.00896,-0.62630
311.448,0.14797,1.21001,-1.53396
311.511,-1.75273,-0.48477,1.41988
311.596,-2.38677,-0.62733,1.74065
311.667,-2.74738,-2.56951,-4.40549
311.751,1.64468,-3.90726,3.84822
311.827,0.35284,0.54338,-4.89764
311.911,2.57123,-0.83727,-3.09481
311.989,0.83822,-1.58295,0.76740
312.067,-1.77484,0.36798,8.79545
312.145,-2.75318,-6.34986,-9.06222
312.227,-4.73634,-1.12520,-6.75670
312.308,-1.08527,-0.78189,2.88268
312.388,2.14118,-0.25163,-3.97885
312.460,0.86498,0.83101,-1.03298
312.545,-1.58722,0.71721,0.00826
312.618,-2.86519,-1.20544,2.58377
312.711,-2.51660,-0.77401,-3.05109
312.777,-2.86319,-3.76919,-1.01052
312.864,2.42619,-0.98057,0.00830
312.940,1.18518,0.28018,-5.64423
313.029,2.01565,-1.45351,-2.25130
313.094,-2.42290,-1.77282,4.95324
313.182,-1.17823,-1.48838,-0.56996
313.253,-2.84839,-2.79069,-0.80063
313.337,-2.55586,-3.51917,-0.11954
313.412,1.86325,-0.05366,-3.46847
313.500,1.84489,0.22217,-1.40668
313.517,-0.02874,1.31878,0.83953
313.591,-1.98383,-0.09093,1.39368
313.688,-1.77719,-0.86078,0.41169
313.751,-3.10100,-3.75018,-4.45638
313.841,2.17948,-1.90857,6.33102
313.908,1.39869,-0.75126,-5.94787
313.999,2.55917,0.14428,-4.56059
314.073,-0.24895,-2.33190,1.73148
314.151,-2.80615,2.26300,9.78541
314.231,0.19917,-5.22920,-0.52931
314.318,-3.08394,-2.90573,-4.19863
314.380,1.00123,0.86713,-1.27283
314.544,2.26817,-0.01394,-4.42342
314.631,0.32663,1.17367,-0.11866
314.708,-1.42604,-0.91851,1.72452
314.786,-2.74159,-1.24128,2.53597
314.861,-2.24422,-2.72072,-3.58624
314.944,1.59758,-5.18749,-0.27029
315.019,0.56498,0.11088,-4.00856
315.102,2.03185,0.53829,-4.39089
315.189,1.93370,-2.11239,0.57640
315.267,-2.23197,-0.31010,6.58972
315.340,-4.38065,-6.33334,-6.51058
315.419,-4.73082,-3.29957,-4.44181
315.496,2.49283,-0.58093,-0.79377
315.584,0.92872,0.39283,-0.66958
315.663,1.09361,1.56745,-2.93178
315.736,0.67030,-3.82447,-2.41462
315.820,-2.24027,4.30981,6.45953
315.895,-2.41134,-2.45867,-4.16205
315.972,-1.57566,-4.62649,-2.00610
316.056,1.40947,4.16556,-4.94056
316.132,2.16777,-1.84157,-4.74188
316.214,1.30030,-1.24287,-0.00401
316.292,-3.32965,-0.93515,1.14668
316.373,-3.88960,-0.83569,2.50191
316.449,-4.88594,-2.47818,-4.78951
316.534,-6.62408,-1.92610,-1.51009
316.609,-0.43299,-2.48891,-2.54412
316.692,9.16433,-3.98336,3.13770
316.768,-4.62709,5.47166,3.36406
316.848,-2.19640,-0.78229,-3.62106
316.932,-2.86465,1.55431,-5.03139
317.008,6.19753,-0.65238,2.70208
317.084,-4.30436,0.56980,-2.90161
317.168,-12.07212,-9.47999,-4.00515
317.243,-8.30758,-11.49272,5.11522
317.325,0.40897,-5.80395,12.53867
317.412,-0.76217,-1.58852,4.67597
317.491,2.36274,-1.34066,0.38119
317.571,-0.49231,-2.86152,-0.24261
317.652,1.18308,-4.70712,0.89109
317.732,-4.13518,-1.33771,-2.15596
317.813,-3.12129,-0.33172,-2.43619
317.889,-0.76538,-3.45385,0.28309
317.973,8.47298,-2.49877,5.35128
318.052,3.48346,-4.20614,3.51932
318.132,1.55094,-2.57725,-5.73397
318.205,-2.85938,-0.30378,-2.73921
318.289,-3.61913,-0.48388,-1.18284
318.366,-2.99376,-0.75324,4.52878
318.446,2.25038,-0.30052,3.25707
318.523,3.41764,-2.66046,4.38463
318.606,-1.77603,-3.71487,1.97881
318.689,-1.06858,-1.78218,-3.86989
318.765,-1.23604,-2.33208,-3.89218
318.846,-1.91734,-1.73545,0.60298
318.923,1.40685,0.33513,3.25488
319.006,3.38406,-1.47055,4.30945
319.090,0.35893,-2.75671,-4.90473
319.158,-0.41279,0.41771,-3.71776
319.241,0.93737,0.92866,2.52493
319.317,2.01381,0.10082,0.89154
319.404,0.38390,-1.07194,2.53657
319.478,-1.28886,1.32524,-4.31781
319.567,2.74693,-2.69264,4.50285
319.640,-1.42742,-0.96308,-2.09933
319.716,0.69651,-1.92445,1.90578
319.796,0.40607,-1.67202,-3.76118
319.878,0.35110,-1.33971,-1.18766
319.957,3.45144,0.33204,0.70154
320.035,3.45976,-2.67735,0.86371
320.111,3.50308,-2.72831,0.30233
320.191,-0.82905,-0.48856,-1.39727
320.271,-1.07418,-0.66015,-2.24008
424.096,-1.05813,0.14143,-3.02853
424.171,-0.31644,-1.00670,-1.33831
424.251,-0.74580,-0.51609,-3.29755
424.332,-1.24707,-0.62635,-0.91379
424.414,-2.63017,0.42323,1.14096
424.493,1.36532,-0.82059,6.02250
424.574,2.86586,-1.42572,-0.33582
424.656,1.73882,-0.04915,-1.57991
424.733,0.09956,-0.76703,-3.70378
424.813,0.38803,-1.06382,-4.31086
424.889,-0.41919,-1.53080,-1.12323
424.971,-0.48337,-0.01267,2.12629
425.048,-2.11498,-0.14681,4.36159
425.124,-2.12459,-0.85393,6.59446
425.210,-1.03098,0.75125,-2.53547
425.283,0.56294,-0.12970,-4.59757
425.363,-3.53305,-0.43642,-7.00543
425.441,-1.60623,-0.83318,0.79275
425.525,1.08663,-2.28299,7.16051
425.601,-0.55461,-2.22033,10.34298
425.687,1.49737,0.88916,-0.74084
425.758,-1.08898,0.24762,-3.34526
425.840,0.88732,-0.78452,-3.36395
425.920,1.78563,0.07421,-4.16603
425.999,-1.04022,-0.90991,0.57317
426.076,0.30286,-0.60492,4.84260
426.164,-1.50521,-0.93773,3.06988
426.236,-0.99460,-1.14283,3.17421
426.317,-0.31964,0.80321,-1.96465
426.394,-0.15056,-0.89882,-1.78470
426.473,0.48954,-1.65714,-4.62062
426.568,-0.78085,-3.21357,-2.95938
426.634,-4.10103,-2.85262,6.41606
426.715,-0.49717,-4.85212,5.21886
426.791,3.44690,-0.52643,-2.92341
426.871,1.86410,1.30672,-3.61579
426.956,-0.42843,-0.22389,-2.01803
427.033,-0.70995,0.91406,-2.71221
427.109,1.62696,1.21639,-3.48361
427.189,2.78982,-0.49344,-0.57632
427.274,1.59404,-3.81750,4.31888
427.361,1.45731,-3.23727,6.95893
427.431,-0.60615,0.41049,-0.55952
427.512,-1.89487,1.92764,-2.66428
427.588,-2.95051,1.96979,-1.35289
427.664,-1.94162,1.71269,-0.61178
427.752,-1.37871,-0.53222,2.12003
427.825,4.60873,-3.87156,3.74217
427.910,5.75621,-5.42640,1.72741
427.984,0.13929,1.06615,-0.55673
